eq_item,eq_pers_standard,eq_truck,eq_safety,eq_task1,eq_task2,eq_task3,eq_task4,eq_task5,eq_task6,eq_task7,lucy_schick,notes2024_lucy_schick,notes
Small BT Speaker (for bears),,,x,,,fish passage,,,,,,,Keep it charged and take with you. Really effective - especially in loud streamside environments.
GPS Case waterproof,,,,snorkling,,,,,,,,,
Notebook waterproof,,,,snorkling,,,,,,,,,
Drysuits,,,,snorkling,,,,,,,,,
Snorkels,,,,snorkling,,,,,,,,,
drysuit gloves,,,,,,,,,,,,,
Goggles,,,,snorkling,,,,,,,,,
Fanny pack,,,,snorkling,,,,,,,,,
large backpack,,,,,electrofishing,,,,,,,,
Tow strap,,x,,,,,,,,,,,
range finder,x,,,,,,,,,,,,Great for long culverts and wide streams. 
cloth or paper towel,,x,,,,,,,,,,,For wipping away condensation and cleaning the windsheild
